index,frequency_hz,source_peak,channel,pre,post,gain
56,2500,0.0125,right,0.010388526089302788,3.7587023161113108e-06,-68.83032006434158
57,2500,0.05,left,0.04153987878764226,1.3190912674610508e-05,-69.96380759343425
58,2500,0.05,right,0.04153987878764226,1.5029625307257174e-05,-68.83034142601281
59,2500,0.2,left,0.16616172732561807,5.286518349228055e-05,-69.94722508554774
60,2500,0.2,right,0.16616172732561807,5.948223224862222e-05,-68.92287479763029
61,4000,0.0125,left,0.010395267684887204,2.9801476118880027e-06,-70.85195802414071
62,4000,0.0125,right,0.010395267684887204,3.3443424785656774e-06,-69.85049864105865
63,4000,0.05,left,0.041543464776205984,1.1756225766027457e-05,-70.96469593505701
64,4000,0.05,right,0.041543464776205984,1.3193047822719689e-05,-69.96315155430264
65,4000,0.2,left,0.16617597697146394,4.7132573107237444e-05,-70.94494181795011
66,4000,0.2,right,0.16189711843270332,5.2901435728901454e-05,-69.71543320210377
67,6300,0.0125,left,0.003912912364271144,4.165191848318998e-06,-59.45730223097338
68,6300,0.0125,right,0.009986201651473337,4.609201182875799e-06,-66.71549333706484
69,6300,0.05,left,0.027087751332256636,1.644067751048459e-05,-64.33706486672357
70,6300,0.05,right,0.036672748335760445,1.2958086001410902e-05,-69.03605200343749
71,6300,0.2,left,0.14696882502937542,4.843020742602726e-05,-69.64217786020014
72,6300,0.2,right,0.14484225666617148,6.994048803783134e-05,-66.32333248258458
