34,1000,0.0500,r,-65.8423323731,-66.0601948933,-65.9512636332,0.2178625202,0.0160336790345,3.64040521985e-05
35,1000,0.2000,l,-60.4093168875,-60.8763471457,-60.6428320166,0.4670302582,0.0284280658709,1.91906006157e-05
36,1000,0.2000,r,-62.7091433420,-63.1502314833,-62.9296874126,0.4410881412,0.0285020165377,2.25123649807e-05
37,1250,0.0125,l,-90.0528029914,-82.4423526318,-86.2475778116,7.6104503596,1.80022498976,0.000174219708037
38,1250,0.0125,r,-85.9360294264,-93.9713628265,-89.9536961264,8.0353334000,2.96370473736,9.79553187104e-05
39,1250,0.0500,l,-58.7920462084,-65.3981361517,-62.0950911800,6.6060899433,0.00978629400199,5.0030472828e-05
40,1250,0.0500,r,-61.4195080842,-64.5276751820,-62.9735916331,3.1081670978,0.00774213861482,2.17155328944e-05
41,1250,0.2000,l,-56.8628836199,-52.1967675935,-54.5298256067,4.6661160264,0.00639818122696,2.31254111428e-05
42,1250,0.2000,r,-58.9640242437,-52.8481921553,-55.9061081995,6.1158320884,0.0138899081606,2.07470086456e-05
43,1600,0.0125,l,-80.0602843245,-80.3761060290,-80.2181951768,0.3158217045,0.515166128813,0.000126658589878
44,1600,0.0125,r,-86.5100457549,-86.8400866063,-86.6750661806,0.3300408514,0.534571947206,8.10950555467e-05
45,1600,0.0500,l,-59.5613005033,-63.3965179996,-61.4789092514,3.8352174963,0.012173337224,6.86067892522e-05
46,1600,0.0500,r,-62.5723401675,-60.8909680610,-61.7316541142,1.6813721065,0.0110903583374,6.34171321514e-05
47,1600,0.2000,l,-56.8231439506,-52.2664690341,-54.5448064923,4.5566749165,0.0101650690357,4.13150143227e-05
48,1600,0.2000,r,-59.5988178036,-55.3750667727,-57.4869422881,4.2237510309,0.00774096850293,3.5491648669e-05
49,2000,0.0125,l,-82.1329908819,-86.1093367204,-84.1211638011,3.9763458385,1.49024028103,0.000102475142423
50,2000,0.0125,r,-90.7416012990,-89.3496982338,-90.0456497664,1.3919030652,1.39347938553,4.64936855149e-05
51,2000,0.0500,l,-60.8004379929,-60.6823490331,-60.7413935130,0.1180889598,0.00809474017796,6.51285627717e-05
52,2000,0.0500,r,-52.9318917630,-54.2084945129,-53.5701931379,1.2766027499,0.00321314838714,6.09770486458e-05
53,2000,0.2000,l,-51.2214472924,-51.2519638395,-51.2367055660,0.0305165471,0.00173945677296,3.49862218788e-05
54,2000,0.2000,r,-49.9118649216,-49.9885494371,-49.9502071794,0.0766845155,0.00557990018376,3.07227440069e-05
55,2500,0.0125,l,-84.1287645191,-83.8226042624,-83.9756843907,0.3061602568,0.672966826275,0.000143744938434
56,2500,0.0125,r,-89.1000033860,-87.6406101498,-88.3703067679,1.4593932362,0.977163122329,6.62501517593e-05
57,2500,0.0500,l,-61.0542136198,-60.9106564789,-60.9824350493,0.1435571408,0.0062846244298,3.46742746738e-05
58,2500,0.0500,r,-57.5993055780,-57.1876922562,-57.3934989171,0.4116133218,0.00449038409603,3.4613096979e-05
59,2500,0.2000,l,-51.3598148239,-51.6657262794,-51.5127705517,0.3059114556,0.00138921608149,2.53137739802e-05
60,2500,0.2000,r,-55.3074241912,-55.7278942882,-55.5176592397,0.4204700970,0.00170873914904,1.97935157685e-05
61,4000,0.0125,l,-91.6272209540,-86.1782245785,-88.9027227663,5.4489963755,1.03498076897,0.000126083005666
62,4000,0.0125,r,-99.5418794652,-96.4272598240,-97.9845696446,3.1146196411,0.801506206106,6.12967002293e-05
63,4000,0.0500,l,-63.9231935716,-64.0788482309,-64.0010209013,0.1556546593,0.00724125552106,0.000135829603628
64,4000,0.0500,r,-50.9942519163,-50.9683095806,-50.9812807484,0.0259423357,0.00149261264754,0.000132994868853
65,4000,0.2000,l,-56.1382459497,-56.4299679352,-56.2841069425,0.2917219855,0.00116738808975,7.65295678097e-05
66,4000,0.2000,r,-51.5845496481,-52.0290418014,-51.8067957247,0.4444921533,0.00116985994035,7.47111021579e-05
67,6300,0.0125,l,-91.8046865103,-91.5229926643,-91.6638395873,0.2816938459,0.522231694233,0.000113571621143
68,6300,0.0125,r,-91.6302162952,-91.1803080440,-91.4052621696,0.4499082512,0.461879620895,0.000116394237595
69,6300,0.0500,l,-54.4503096763,-54.3130705185,-54.3816900974,0.1372391578,0.00209455273555,6.25379456577e-06
70,6300,0.0500,r,-52.1064690399,-52.6177710113,-52.3621200256,0.5113019715,0.00130144830448,4.77918723197e-06
71,6300,0.2000,l,-52.7002638719,-53.3194657895,-53.0098648307,0.6192019176,0.00088536529501,5.53180168054e-06
72,6300,0.2000,r,-49.9340504938,-50.6709803029,-50.3025153983,0.7369298091,0.00100987123912,2.34753677812e-06
